Survived	('Survived', 'PassengerId')
0	(0, 892)
1	(1, 893)
0	(0, 894)
0	(0, 895)
1	(1, 896)
0	(0, 897)
1	(1, 898)
0	(0, 899)
1	(1, 900)
0	(0, 901)
0	(0, 902)
0	(0, 903)
1	(1, 904)
0	(0, 905)
1	(1, 906)
1	(1, 907)
0	(0, 908)
0	(0, 909)
1	(1, 910)
1	(1, 911)
0	(0, 912)
0	(0, 913)
1	(1, 914)
0	(0, 915)
1	(1, 916)
0	(0, 917)
1	(1, 918)
0	(0, 919)
0	(0, 920)
0	(0, 921)
0	(0, 922)
0	(0, 923)
1	(1, 924)
1	(1, 925)
0	(0, 926)
0	(0, 927)
1	(1, 928)
1	(1, 929)
0	(0, 930)
0	(0, 931)
0	(0, 932)
0	(0, 933)
0	(0, 934)
1	(1, 935)
1	(1, 936)
0	(0, 937)
0	(0, 938)
0	(0, 939)
1	(1, 940)
1	(1, 941)
0	(0, 942)
0	(0, 943)
0	(0, 944)
1	(1, 945)
0	(0, 946)
0	(0, 947)
0	(0, 948)
0	(0, 949)
0	(0, 950)
1	(1, 951)
0	(0, 952)
0	(0, 953)
0	(0, 954)
1	(1, 955)
1	(1, 956)
1	(1, 957)
1	(1, 958)
0	(0, 959)
0	(0, 960)
0	(0, 961)
1	(1, 962)
0	(0, 963)
1	(1, 964)
0	(0, 965)
1	(1, 966)
0	(0, 967)
0	(0, 968)
0	(0, 969)
0	(0, 970)
1	(1, 971)
1	(1, 972)
1	(1, 973)
0	(0, 974)
0	(0, 975)
0	(0, 976)
0	(0, 977)
1	(1, 978)
1	(1, 979)
1	(1, 980)
1	(1, 981)
1	(1, 982)
0	(0, 983)
1	(1, 984)
0	(0, 985)
0	(0, 986)
0	(0, 987)
1	(1, 988)
0	(0, 989)
1	(1, 990)
0	(0, 991)
1	(1, 992)
0	(0, 993)
0	(0, 994)
0	(0, 995)
1	(1, 996)
0	(0, 997)
0	(0, 998)
0	(0, 999)
0	(0, 1000)
0	(0, 1001)
0	(0, 1002)
1	(1, 1003)
1	(1, 1004)
1	(1, 1005)
1	(1, 1006)
0	(0, 1007)
0	(0, 1008)
1	(1, 1009)
0	(0, 1010)
1	(1, 1011)
1	(1, 1012)
0	(0, 1013)
1	(1, 1014)
0	(0, 1015)
0	(0, 1016)
1	(1, 1017)
0	(0, 1018)
0	(0, 1019)
0	(0, 1020)
0	(0, 1021)
0	(0, 1022)
0	(0, 1023)
1	(1, 1024)
0	(0, 1025)
0	(0, 1026)
0	(0, 1027)
0	(0, 1028)
0	(0, 1029)
1	(1, 1030)
0	(0, 1031)
0	(0, 1032)
1	(1, 1033)
0	(0, 1034)
0	(0, 1035)
0	(0, 1036)
0	(0, 1037)
0	(0, 1038)
0	(0, 1039)
0	(0, 1040)
0	(0, 1041)
1	(1, 1042)
0	(0, 1043)
0	(0, 1044)
1	(1, 1045)
0	(0, 1046)
0	(0, 1047)
1	(1, 1048)
1	(1, 1049)
0	(0, 1050)
1	(1, 1051)
1	(1, 1052)
1	(1, 1053)
1	(1, 1054)
0	(0, 1055)
0	(0, 1056)
1	(1, 1057)
0	(0, 1058)
0	(0, 1059)
1	(1, 1060)
1	(1, 1061)
0	(0, 1062)
0	(0, 1063)
0	(0, 1064)
0	(0, 1065)
0	(0, 1066)
1	(1, 1067)
1	(1, 1068)
0	(0, 1069)
1	(1, 1070)
0	(0, 1071)
0	(0, 1072)
0	(0, 1073)
1	(1, 1074)
0	(0, 1075)
1	(1, 1076)
0	(0, 1077)
1	(1, 1078)
0	(0, 1079)
0	(0, 1080)
0	(0, 1081)
0	(0, 1082)
0	(0, 1083)
0	(0, 1084)
0	(0, 1085)
1	(1, 1086)
0	(0, 1087)
1	(1, 1088)
1	(1, 1089)
0	(0, 1090)
1	(1, 1091)
1	(1, 1092)
1	(1, 1093)
1	(1, 1094)
1	(1, 1095)
0	(0, 1096)
0	(0, 1097)
1	(1, 1098)
0	(0, 1099)
1	(1, 1100)
0	(0, 1101)
0	(0, 1102)
0	(0, 1103)
0	(0, 1104)
1	(1, 1105)
0	(0, 1106)
0	(0, 1107)
1	(1, 1108)
0	(0, 1109)
1	(1, 1110)
0	(0, 1111)
1	(1, 1112)
0	(0, 1113)
1	(1, 1114)
